DateVal,CMODateCount,CumCases,DailyDeaths,CumDeaths
31/01/2020,2,2,,
01/02/2020,0,2,,
02/02/2020,0,2,,
03/02/2020,0,2,,
04/02/2020,0,2,,
05/02/2020,0,2,,
06/02/2020,1,3,,
07/02/2020,0,3,,
08/02/2020,0,3,,
09/02/2020,1,4,,
10/02/2020,4,8,,
11/02/2020,0,8,,
12/02/2020,0,8,,
13/02/2020,1,9,,
14/02/2020,0,9,,
15/02/2020,0,9,,
16/02/2020,0,9,,
17/02/2020,0,9,,
18/02/2020,0,9,,
19/02/2020,0,9,,
20/02/2020,0,9,,
21/02/2020,0,9,,
22/02/2020,0,9,,
23/02/2020,0,9,,
24/02/2020,4,13,,
25/02/2020,0,13,,
26/02/2020,0,13,,
27/02/2020,0,13,,
28/02/2020,6,19,,
29/02/2020,4,23,,
01/03/2020,12,35,,
02/03/2020,5,40,,
03/03/2020,11,51,,
04/03/2020,34,85,,
05/03/2020,29,114,,
06/03/2020,46,160,,
07/03/2020,46,206,,
08/03/2020,65,271,,
09/03/2020,50,321,,
10/03/2020,52,373,,6
11/03/2020,83,456,,
12/03/2020,139,590,,8
13/03/2020,207,797,,
14/03/2020,264,1061,,21
15/03/2020,330,1391,14,35
16/03/2020,152,1543,20,55
17/03/2020,407,1950,16,71
18/03/2020,676,2626,32,103
19/03/2020,643,3269,41,144
20/03/2020,714,3983,33,177
21/03/2020,1035,5018,56,233
22/03/2020,665,5683,48,281
23/03/2020,967,6650,54,335
24/03/2020,1427,8077,87,422
25/03/2020,1452,9529,41,463
26/03/2020,2129,11658,115,578
27/03/2020,2885,14543,181,759
28/03/2020,2546,17089,260,1019
29/03/2020,2433,19522,209,1228
30/03/2020,2619,22141,180,1408
31/03/2020,3009,25150,381,1789
01/04/2020,4324,29474,563,2352
02/04/2020,4244,33718,569,2921
03/04/2020,4450,38168,684,3605
04/04/2020,3735,41903,708,4313
05/04/2020,5914,47806,621,4934
06/04/2020,3802,51608,439,5373
